Name,Access_Public_Transportation_Index
White,0
Kingston,96
Euharlee,0
Trenton,75
Lakeland,64
Richmond Hill,0
Pembroke,0
Surrency,0
Graham,0
Baxley,80
Cochran,84
Allentown,0
Tiger,96
Sky Valley,0
Mountain City,87
Dillard,0
Iron City,0
Donalsonville,77
Wrens,75
Wadley,0
Stapleton,91
Louisville,0
Bartow,0
Avera,0
Clayton,89
Tallulah Falls,0
Brunswick,87
Woodbine,0
St. Marys,64
Kingsland,69
Rockmart,0
Cedartown,81
Aragon,85
Rutledge,71
Madison,0
Buckhead,0
Bostwick,0
Woodland,0
Talbotton,0
Junction City,0
Geneva,0
Manchester,0
Ellaville,64
Blairsville,0
Rochelle,0
Pitts,0
Pineview,0
Abbeville,0
Waycross,86
Winterville,0
Bogart,71
Conyers,90
Grayson,0
Gray,0
Bremen,0
Eton,0
Chatsworth,0
Oak Park,0
Nunez,0
Garfield,0
Adrian,0
Harlem,0
Grovetown,0
Milledgeville,67
Rossville,0
Lookout Mountain,0
LaFayette,73
Chickamauga,71
Fort Oglethorpe,0
Twin City,89
Swainsboro,86
Summertown,0
Stillmore,69
Ellijay,0
East Ellijay,95
Ocilla,0
Fitzgerald,0
Warrenton,67
Norwood,0
Camak,0
Elberton,0
Bowman,75
Nahunta,0
Hoboken,0
Vernonburg,0
Tybee Island,64
Thunderbolt,78
Savannah,94
Port Wentworth,64
Pooler,0
Garden City,95
Bloomingdale,0
Newborn,0
Gillsville,0
Union City,95
Social Circle,0
Porterdale,0
Covington,69
Oxford,0
Kennesaw,90
Fort Valley,75
Warner Robins,64
Buford,71
Fairburn,97
Perry,0
Byron,0
Hagan,0
Daisy,0
Claxton,0
Bellville,0
Waynesboro,0
Vidette,0
Sardis,0
Midville,0
Keysville,0
Vidalia,73
Santa Claus,0
Lyons,0
Forsyth,0
Culloden,0
Homerville,0
Fargo,84
Argyle,0
Girard,0
Blythe,0
Walthourville,73
Riceboro,0
Midway,0
Hinesville,67
Flemington,0
Allenhurst,0
Ila,0
Hull,0
Danielsville,0
Comer,0
Colbert,89
Carlton,0
Watkinsville,0
North High Shoals,0
Bishop,0
Homeland,0
Folkston,0
Sparks,0
Lenox,0
Cecil,0
Adel,67
Ray City,0
Nashville,64
Enigma,0
Alapaha,84
Patterson,0
Offerman,0
Blackshear,0
Jakin,0
Damascus,0
Reynolds,0
Butler,0
Dawsonville,0
Wrightsville,0
Kite,0
Blakely,0
Arlington,0
Vienna,0
Unadilla,0
Pinehurst,0
Lilly,0
Dooling,0
Byromville,85
Washington,93
