Name,Commute_Time_Index
White,26
Kingston,35
Euharlee,16
Trenton,71
Lakeland,95
Richmond Hill,44
Pembroke,15
Surrency,57
Graham,26
Baxley,78
Cochran,85
Allentown,24
Tiger,98
Sky Valley,77
Mountain City,77
Dillard,90
Iron City,60
Donalsonville,96
Wrens,97
Wadley,65
Stapleton,34
Louisville,72
Bartow,56
Avera,36
Clayton,89
Tallulah Falls,86
Brunswick,88
Woodbine,39
St. Marys,79
Kingsland,70
Rockmart,34
Cedartown,65
Aragon,48
Rutledge,50
Madison,46
Buckhead,3
Bostwick,38
Woodland,75
Talbotton,1
Junction City,5
Geneva,41
Manchester,52
Ellaville,84
Blairsville,96
Rochelle,81
Pitts,11
Pineview,53
Abbeville,37
Waycross,97
Winterville,73
Bogart,60
Conyers,39
Grayson,12
Gray,57
Bremen,79
Eton,65
Chatsworth,66
Oak Park,29
Nunez,57
Garfield,29
Adrian,21
Harlem,51
Grovetown,68
Milledgeville,90
Rossville,79
Lookout Mountain,84
LaFayette,54
Chickamauga,31
Fort Oglethorpe,78
Twin City,53
Swainsboro,71
Summertown,19
Stillmore,28
Ellijay,67
East Ellijay,88
Ocilla,98
Fitzgerald,98
Warrenton,54
Norwood,76
Camak,61
Elberton,93
Bowman,23
Nahunta,24
Hoboken,43
Vernonburg,90
Tybee Island,74
Thunderbolt,87
Savannah,83
Port Wentworth,35
Pooler,72
Garden City,77
Bloomingdale,68
Newborn,20
Gillsville,14
Union City,14
Social Circle,25
Porterdale,48
Covington,51
Oxford,91
Kennesaw,23
Fort Valley,75
Warner Robins,79
Buford,53
Fairburn,12
Perry,87
Byron,69
Hagan,64
Daisy,67
Claxton,86
Bellville,98
Waynesboro,80
Vidette,56
Sardis,9
Midville,1
Keysville,9
Vidalia,87
Santa Claus,83
Lyons,93
Forsyth,52
Culloden,3
Homerville,99
Fargo,30
Argyle,39
Girard,20
Blythe,3
Walthourville,42
Riceboro,54
Midway,26
Hinesville,79
Flemington,63
Allenhurst,48
Ila,41
Hull,92
Danielsville,46
Comer,51
Colbert,68
Carlton,18
Watkinsville,73
North High Shoals,49
Bishop,31
Homeland,27
Folkston,40
Sparks,24
Lenox,75
Cecil,61
Adel,62
Ray City,75
Nashville,45
Enigma,31
Alapaha,30
Patterson,66
Offerman,24
Blackshear,48
Jakin,70
Damascus,34
Reynolds,33
Butler,77
Dawsonville,13
Wrightsville,48
Kite,13
Blakely,63
Arlington,32
Vienna,88
Unadilla,80
Pinehurst,83
Lilly,86
Dooling,#N/A
Byromville,70
Washington,75
Smithville,39
Leesburg,80
Tignall,42
Rayle,57
Milner,47
Barnesville,46
Aldora,69
Waco,52
Tallapoosa,40
Braswell,1
Clermont,20
Hampton,40
Mount Zion,15
Fayetteville,14
Woolsey,28
Mansfield,18
Buchanan,4
Mitchell,10
Gibson,32
Nicholls,64
Douglas,96
Broxton,30
Ambrose,99
Jeffersonville,85
Danville,45
Hephzibah,36
Trion,95
Summerville,80
Menlo,86
Lyerly,71
Helen,64
Cleveland,46
Colquitt,86
Woodbury,14
Warm Springs,32
Luthersville,18
Lone Oak,62
Greenville,41
Gay,86
Pine Mountain,56
Sale City,59
Pelham,87
Meigs,51
Camilla,94
Baconton,82
Woodville,5
White Plains,6
Union Point,31
Siloam,62
Greensboro,95
Shellman,71
Cuthbert,67
Plains,53
Leslie,77
De Soto,36
Andersonville,64
Americus,92
Hawkinsville,93
Royston,74
Martin,32
Lavonia,92
Franklin Springs,100
Carnesville,27
Canon,57
Quitman,72
Pavo,6
Morven,3
Barwick,70
Scotland,61
Milan,60
Lumber City,60
Jacksonville,54
Alma,94
Sycamore,35
Rebecca,44
Ashburn,67
Willacoochee,78
Pearson,84
Young Harris,100
Hiawassee,100
Sylvania,82
Rocky Ford,1
Oliver,14
Newington,57
Hiltonia,30
LaGrange,86
Valdosta,95
Remerton,100
Lake Park,29
Hahira,73
Dasher,88
Thomasville,93
Hogansville,43
West Point,97
Rentz,95
Montrose,5
East Dublin,44
Taylorsville,72
Flowery Branch,18
Peachtree City,29
Ochlocknee,62
Coolidge,57
Boston,38
Pulaski,64
Metter,63
Dudley,63
Dublin,86
Dexter,82
Cadwell,68
Morganton,98
McCaysville,41
Newton,67
Blue Ridge,92
Morgan,100
Leary,37
Edison,97
Lincolnton,79
Cordele,96
Arabi,84
Centerville,86
Talking Rock,3
Jasper,84
Nelson,43
Webster County,52
Screven,25
Odum,69
Jesup,89
