Row Labels,Employment_Rate_Index
Alpharetta,73
Braselton town,33
Buckhead,52
Buford,37
Cumming,78
Dahlonega,33
Decatur,33
Doraville,33
Duluth,59
Gainesville,2
Jefferson,2
Johns Creek,93
Kennesaw,2
Lawrenceville,33
Lilburn,2
Macon,33
Marietta,23
Midtown,2
Norcross,33
Peachtree City,2
Riverdale,2
Sandy Springs,27
Smyrna,33
Snellville,18
Auburn,25
Brookhaven,76
College Park,34
Dacula,25
Douglasville,55
Druid Hills,73
Dunwoody,45
East Atlanta,80
Fairburn,28
Fayetteville,26
Forest Park,37
Hoschton,75
Kirkwood,71
Lake City,31
Lithonia,48
Lovejoy,18
Old Fourth Ward,86
Pine Lake,44
Powder Springs,52
Rex,17
Virginia Highlands,91
