Name,Crime_Index,Housing_Affordability_Index,Health_Hazard_Index,Physical_Environment_Index,Socioeconomic_Environment_Index,Healthcare_Proximity_Index,Fire_Station_Proximity_Index,Access_Public_Transportation_Index,Commute_Time_Index,Vehicle_Availability_Index,Government_Building_Accessibility_Index,School_Enrollment_Index,Inclusiveness_Index,Employment_Rate_Index,Labor_Market_Index,Resturant_Index,Activity_Center_Index
Alpharetta,96,11,85,99,98,73,98,83,42,71,96,98,44,73,61,59,84
Auburn,92,23,66,94,84,50,17,0,2,84,30,79,30,25,43,26,47
Brookhaven,83,3,34,71,98,34,1,98,42,37,1,96,53,76,55,75,63
Buckhead,87,90,21,38,7,37,27,0,3,79,37,6,39,52,56,96,80
Buford,79,12,84,82,88,2,49,71,53,51,75,86,63,37,54,49,76
College Park,33,6,13,5,85,2,95,99,22,1,92,87,98,34,50,64,59
Dacula,74,28,66,74,63,47,49,0,1,92,37,78,57,25,58,30,47
Decatur,90,11,42,22,96,18,37,96,54,35,77,92,37,33,55,83,94
Doraville,70,14,42,11,82,18,27,97,25,50,66,82,92,33,55,2,67
Douglasville,64,6,86,92,95,36,83,81,16,60,54,95,85,55,57,55,76
Druid Hills,63,82,42,74,95,29,27,88,46,92,37,85,53,73,55,67,79
Duluth,93,9,66,97,96,49,73,81,24,83,69,94,71,59,58,63,87
Dunwoody,90,7,42,73,98,2,84,96,48,73,30,97,42,45,55,2,26
East Atlanta,46,76,38,63,72,32,60,81,74,61,37,76,57,80,55,76,68
Fairburn,80,17,14,85,87,51,83,97,12,51,81,89,97,28,57,58,44
Fayetteville,89,20,90,95,94,37,91,90,14,71,90,90,60,26,68,60,79
Forest Park,67,4,1,8,82,54,37,85,40,29,30,91,95,37,27,52,59
Hoschton,77,71,97,90,66,82,1,71,22,90,1,55,18,75,44,43,18
Johns Creek,89,10,57,100,99,95,37,71,16,88,37,99,50,93,57,94,21
Kennesaw,84,9,78,96,96,34,78,90,23,68,81,95,55,2,70,20,84
Kirkwood,32,61,38,59,64,21,1,77,74,58,1,60,84,71,55,65,62
Lake City,76,45,1,26,62,56,49,81,54,48,37,61,89,31,27,58,38
Lawrenceville,75,5,66,86,92,45,49,81,17,57,86,94,80,33,58,21,52
Lilburn,81,17,66,83,89,50,60,77,28,58,62,85,77,2,58,60,67
Lithonia,75,36,42,10,44,17,1,98,5,8,35,59,99,48,55,31,76
Lovejoy,90,31,1,100,77,28,78,71,25,71,56,82,99,18,27,8,26
Marietta,48,2,78,69,97,55,96,92,35,43,98,97,67,23,70,99,96
Midtown,57,93,21,55,96,62,1,97,85,73,1,45,72,2,56,99,93
Norcross,72,7,66,86,90,47,27,91,23,59,37,90,94,33,58,36,84
Old Fourth Ward,60,90,21,48,88,61,27,85,74,94,37,52,42,86,56,87,88
Peachtree City,88,14,98,94,97,34,60,78,29,84,81,96,26,2,48,34,94
Pine Lake,95,77,42,16,55,25,29,96,4,34,1,22,25,44,55,50,44
Powder Springs,82,15,82,91,91,31,60,78,7,79,66,89,82,52,61,34,89
Rex,76,11,1,54,41,5,12,46,27,35,1,15,28,17,27,2,0
Riverdale,60,8,1,67,87,46,60,95,37,35,69,89,99,2,27,41,42
Sandy Springs,56,2,62,72,99,39,93,97,53,54,94,98,52,27,64,39,93
Smyrna,62,4,78,80,98,80,86,87,30,75,86,97,66,33,70,25,90
Snellville,80,15,66,87,93,80,60,0,7,74,77,90,64,18,58,34,63
Virginia Highlands,55,85,34,50,77,59,1,72,66,94,1,64,37,91,55,86,90
