Name,Health_Hazard_Index
Auburn,66
Braselton town,94
Alpharetta,85
Rex,1
Conley CDP,1
Forest Park,1
Lake City,1
Lovejoy,1
Riverdale,1
Lovejoy,56
Lovejoy,77
Kennesaw,78
Smyrna,78
Marietta,78
Powder Springs,82
Powder Springs,86
Sandy Springs,62
Powder Springs,89
Peachtree City,98
Lithonia,42
Doraville,42
Druid Hills,42
Dunwoody,42
North Druid Hills,42
Panthersville,42
Pine Lake,42
Redan,42
Scottdale,42
Decatur,42
Kirkwood,38
East Atlanta,38
Druid Hills,38
Westside,21
Southwest,21
Downtown,21
Buckhead,21
Southside,21
Old Fourth Ward,21
Midtown,21
Atlantic Station,21
East Atlanta,34
Virginia Highlands,34
Brookhaven,34
South Atlanta,18
Sandy Springs,18
College Park,13
Sandy Springs,21
Scottdale,60
Douglasville,86
Brooks town,90
Fayetteville,90
Peachtree City,90
Fayetteville,64
Alpharetta,14
Fairburn,14
Sandy Springs,14
Alpharetta,76
College Park,12
College Park,9
Fairburn,65
Sandy Springs,21
Dacula,66
Duluth,66
Snellville,66
Lawrenceville,66
Lilburn,66
Norcross,66
Lilburn,60
Johns Creek,57
Sandy Springs,57
Buford,84
Buford,96
Snellville,10
Hoschton,97
