Name,Inclusiveness_Index
White,4
Kingston,51
Euharlee,11
Trenton,9
Lakeland,64
Richmond Hill,35
Pembroke,49
Surrency,44
Graham,46
Baxley,64
Cochran,71
Allentown,51
Tiger,12
Sky Valley,3
Mountain City,5
Dillard,33
Iron City,14
Donalsonville,81
Wrens,83
Wadley,97
Stapleton,37
Louisville,88
Bartow,65
Avera,4
Clayton,28
Tallulah Falls,18
Brunswick,92
Woodbine,64
St. Marys,32
Kingsland,38
Rockmart,27
Cedartown,75
Aragon,21
Rutledge,44
Madison,58
Buckhead,39
Bostwick,7
Woodland,97
Talbotton,98
Junction City,87
Geneva,67
Manchester,67
Ellaville,56
Blairsville,24
Rochelle,60
Pitts,49
Pineview,97
Abbeville,83
Waycross,79
Winterville,30
Bogart,30
Conyers,93
Grayson,59
Gray,45
Bremen,15
Eton,50
Chatsworth,31
Oak Park,21
Nunez,70
Garfield,39
Adrian,29
Harlem,40
Grovetown,60
Milledgeville,61
Rossville,17
Lookout Mountain,6
LaFayette,12
Chickamauga,9
Fort Oglethorpe,12
Twin City,72
Swainsboro,82
Summertown,16
Stillmore,68
Ellijay,32
East Ellijay,45
Ocilla,85
Fitzgerald,68
Warrenton,91
Norwood,93
Camak,91
Elberton,67
Bowman,31
Nahunta,17
Hoboken,5
Vernonburg,0
Tybee Island,11
Thunderbolt,52
Savannah,78
Port Wentworth,75
Pooler,47
Garden City,75
Bloomingdale,14
Newborn,23
Gillsville,6
Union City,98
Social Circle,34
Porterdale,51
Covington,67
Oxford,60
Kennesaw,55
Fort Valley,96
Warner Robins,62
Buford,63
Fairburn,97
Perry,57
Byron,53
Hagan,28
Daisy,2
Claxton,73
Bellville,0
Waynesboro,88
Vidette,7
Sardis,77
Midville,69
Keysville,96
Vidalia,60
Santa Claus,10
Lyons,72
Forsyth,87
Culloden,52
Homerville,61
Fargo,25
Argyle,32
Girard,47
Blythe,22
Walthourville,89
Riceboro,99
Midway,55
Hinesville,81
Flemington,70
Allenhurst,48
Ila,0
Hull,16
Danielsville,15
Comer,42
Colbert,19
Carlton,35
Watkinsville,20
North High Shoals,28
Bishop,22
Homeland,25
Folkston,63
Sparks,84
Lenox,53
Cecil,69
Adel,74
Ray City,18
Nashville,24
Enigma,34
Alapaha,66
Patterson,19
Offerman,32
Blackshear,30
Jakin,51
Damascus,79
Reynolds,63
Butler,68
Dawsonville,12
Wrightsville,65
Kite,11
Blakely,84
Arlington,89
Vienna,88
Unadilla,85
Pinehurst,56
Lilly,68
Dooling,99
Byromville,90
Washington,74
Smithville,96
Leesburg,33
Tignall,72
Rayle,52
Milner,15
Barnesville,79
Aldora,19
Waco,3
Tallapoosa,10
Braswell,10
Clermont,1
Hampton,69
Mount Zion,9
Fayetteville,60
Woolsey,7
Mansfield,7
Buchanan,26
Mitchell,22
Gibson,22
Nicholls,69
Douglas,84
Broxton,48
Ambrose,50
Jeffersonville,79
Danville,51
Hephzibah,55
Trion,40
Summerville,29
Menlo,6
Lyerly,8
Helen,13
Cleveland,20
Colquitt,62
Woodbury,70
Warm Springs,77
Luthersville,81
Lone Oak,42
Greenville,92
Gay,38
Pine Mountain,66
Sale City,34
Pelham,65
Meigs,94
Camilla,92
Baconton,73
Woodville,80
White Plains,54
Union Point,76
Siloam,86
Greensboro,96
Shellman,71
Cuthbert,97
Plains,68
Leslie,58
De Soto,91
Andersonville,45
Americus,82
Hawkinsville,66
Royston,33
Martin,11
Lavonia,41
Franklin Springs,24
Carnesville,37
Canon,5
Quitman,93
Pavo,43
Morven,83
Barwick,75
Scotland,25
Milan,20
Lumber City,73
Jacksonville,90
Alma,65
Sycamore,38
Rebecca,3
Ashburn,86
Willacoochee,78
Pearson,89
Young Harris,8
Hiawassee,8
Sylvania,50
Rocky Ford,25
Oliver,71
Newington,28
