Name,School_Enrollment_Index
White,37
Kingston,29
Euharlee,75
Trenton,58
Lakeland,66
Richmond Hill,85
Pembroke,70
Surrency,2
Graham,31
Baxley,65
Cochran,80
Allentown,9
Tiger,21
Sky Valley,2
Mountain City,34
Dillard,11
Iron City,11
Donalsonville,64
Wrens,62
Wadley,58
Stapleton,18
Louisville,64
Bartow,11
Avera,16
Clayton,51
Tallulah Falls,2
Brunswick,87
Woodbine,50
St. Marys,89
Kingsland,91
Rockmart,71
Cedartown,83
Aragon,48
Rutledge,25
Madison,68
Buckhead,6
Bostwick,28
Woodland,4
Talbotton,44
Junction City,10
Geneva,1
Manchester,73
Ellaville,60
Blairsville,36
Rochelle,38
Pitts,35
Pineview,37
Abbeville,42
Waycross,87
Winterville,39
Bogart,46
Conyers,90
Grayson,67
Gray,69
Bremen,79
Eton,41
Chatsworth,73
Oak Park,29
Nunez,6
Garfield,16
Adrian,31
Harlem,61
Grovetown,87
Milledgeville,93
Rossville,73
Lookout Mountain,57
LaFayette,77
Chickamauga,65
Fort Oglethorpe,81
Twin City,56
Swainsboro,80
Summertown,11
Stillmore,30
Ellijay,45
East Ellijay,49
Ocilla,64
Fitzgerald,82
Warrenton,54
Norwood,9
Camak,6
Elberton,74
Bowman,30
Nahunta,43
Hoboken,36
Vernonburg,2
Tybee Island,52
Thunderbolt,53
Savannah,99
Port Wentworth,79
Pooler,92
Garden City,81
Bloomingdale,57
Newborn,40
Gillsville,14
Union City,93
Social Circle,72
Porterdale,52
Covington,84
Oxford,70
Kennesaw,95
Fort Valley,88
Warner Robins,98
Buford,86
Fairburn,89
Perry,88
Byron,74
Hagan,45
Daisy,5
Claxton,59
Bellville,18
Waynesboro,78
Vidette,7
Sardis,47
Midville,7
Keysville,10
Vidalia,85
Santa Claus,13
Lyons,76
Forsyth,70
Culloden,16
Homerville,61
Fargo,16
Argyle,5
Girard,3
Blythe,29
Walthourville,76
Riceboro,34
Midway,62
Hinesville,96
Flemington,43
Allenhurst,26
Ila,26
Hull,5
Danielsville,48
Comer,43
Colbert,39
Carlton,8
Watkinsville,63
North High Shoals,44
Bishop,23
Homeland,47
Folkston,71
Sparks,60
Lenox,39
Cecil,15
Adel,77
Ray City,51
Nashville,75
Enigma,41
Alapaha,39
Patterson,41
Offerman,11
Blackshear,60
Jakin,13
Damascus,17
Reynolds,44
Butler,49
Dawsonville,62
Wrightsville,65
Kite,20
Blakely,76
Arlington,55
Vienna,69
Unadilla,53
Pinehurst,22
Lilly,18
Dooling,29
Byromville,35
Washington,60
Smithville,34
Leesburg,72
Tignall,36
Rayle,16
Milner,51
Barnesville,84
Aldora,3
Waco,33
Tallapoosa,68
Braswell,14
Clermont,47
Hampton,82
Mount Zion,58
Fayetteville,90
Woolsey,7
Mansfield,15
Buchanan,42
Mitchell,11
Gibson,27
Nicholls,44
Douglas,86
Broxton,42
Ambrose,24
Jeffersonville,38
Danville,4
Hephzibah,71
Trion,58
Summerville,58
Menlo,16
Lyerly,20
Helen,5
Cleveland,73
Colquitt,61
Woodbury,37
Warm Springs,32
Luthersville,42
Lone Oak,0
Greenville,32
Gay,4
Pine Mountain,45
Sale City,22
Pelham,72
Meigs,40
Camilla,74
Baconton,50
Woodville,14
White Plains,7
Union Point,52
Siloam,21
Greensboro,65
Shellman,47
Cuthbert,69
Plains,23
Leslie,29
De Soto,14
Andersonville,10
Americus,92
Hawkinsville,64
Royston,63
Martin,12
Lavonia,44
Franklin Springs,59
Carnesville,31
Canon,37
Quitman,73
Pavo,22
Morven,26
Barwick,24
Scotland,8
Milan,25
Lumber City,27
Jacksonville,1
Alma,67
Sycamore,26
Rebecca,10
Ashburn,75
Willacoochee,57
Pearson,53
Young Harris,63
Hiawassee,31
Sylvania,55
Rocky Ford,4
Oliver,14
Newington,24
Hiltonia,30
LaGrange,94
Valdosta,98
Remerton,70
Lake Park,50
Hahira,64
Dasher,49
Thomasville,91
Hogansville,65
West Point,61
Rentz,15
Montrose,18
East Dublin,60
Taylorsville,9
Flowery Branch,78
Peachtree City,96
Ochlocknee,34
Coolidge,24
Boston,54
Pulaski,10
Metter,72
Dudley,36
Dublin,88
Dexter,32
Cadwell,21
Morganton,12
McCaysville,50
Newton,19
Blue Ridge,40
Morgan,48
Leary,25
Edison,48
Lincolnton,51
Cordele,86
Arabi,23
Centerville,82
Talking Rock,4
Jasper,71
Nelson,46
Webster County,60
Screven,37
Odum,33
Jesup,83
Springfield,62
Rincon,86
Guyton,66
Maxeys,15
Lexington,17
Crawford,32
Arnoldsville,33
Tennille,50
Sandersville,76
Riddleville,1
Oconee,13
Harrison,21
Deepstep,3
Davisboro,36
Rhine,28
Eastman,75
Chester,22
Chauncey,18
Sharon,0
Crawfordville,28
Climax,7
Brinson,14
Bainbridge,84
Attapulgus,27
Dahlonega,81
Statesboro,97
Ringgold,66
Register,2
Portal,41
Brooklet,55
Millen,74
Sparta,50
Albany,99
Yatesville,20
Thomaston,83
Columbus,99
Fort Gaines,45
Bluffton,3
Buena Vista,57
Richland,53
Lumpkin,38
Franklin,32
Ephesus,25
Centralhatchee,24
Warwick,13
Sylvester,79
Sumner,25
Poulan,45
Toomsboro,3
McIntyre,29
Ivey,40
Glenwood,19
Alamo,33
Irwinton,32
Gordon,55
Darien,68
Jenkinsburg,20
Jackson,75
Flovilla,38
Shady Dale,6
Monticello,67
Oglethorpe,47
Brooks,35
Griffin,92
Auburn,79
Montezuma,68
Marshallville,45
Waverly Hall,38
Shiloh,35
Jonesboro,67
Hamilton,46
Ideal,34
Hazlehurst,71
Denton,15
Toccoa,81
Avalon,6
Ty Ty,43
Tifton,91
Omega,50
Riverside,0
Norman Park,53
Moultrie,88
Funston,41
Ellenton,3
Doerun,39
Berlin,23
Thomson,80
Dearing,28
Soperton,66
Rome,94
Cave Spring,52
Eatonton,78
Sasser,20
Parrott,7
Dawson,74
Bronwood,16
Reidsville,59
Manassas,9
Glennville,71
Collins,35
Roberta,38
Ludowici,63
Cobbtown,12
Hartwell,69
Bowersville,16
Cusseta-Chattahoochee County,86
Uvalda,30
Tarrytown,0
Mount Vernon,59
Higgston,21
Alston,5
Ailey,42
Zebulon,53
Williamson,31
Molena,28
Meansville,5
Concord,19
Homer,54
Baldwin,70
Alto,46
Whigham,19
Cairo,84
Resaca,49
Ranger,7
Plainville,24
Fairmount,31
Calhoun,89
Talmo,8
Pendergrass,19
Nicholson,47
Maysville,57
Jefferson,84
Hoschton,55
Commerce,78
Arcade,46
Varnell,55
Tunnel Hill,43
Dalton,95
Cohutta,35
Mount Airy,49
Demorest,67
Cornelia,75
Clarkesville,57
Orchard Hill,9
Gainesville,96
Oakwood,72
Adairsville,77
Cartersville,91
Emerson,42
Locust Grove,77
Stockbridge,95
Tyrone,80
Morrow,80
Riverdale,89
Lula,66
Sunny Side,1
Carl,12
Douglasville,95
McDonough,93
Whitesburg,24
Cumming,76
Between,28
Good Hope,26
Villa Rica,88
Roopville,13
Braselton,82
Lake City,61
Forest Park,91
Waleska,56
Mountain Park,21
Hapeville,79
Sandy Springs,98
Alpharetta,98
Atlanta,99
Palmetto,78
Johns Creek,99
Chattahoochee Hills,54
College Park,87
Milton,97
East Point,94
Roswell,98
Chamblee,83
Statham,63
Haralson,10
Grantville,68
Canton,92
Austell,83
Marietta,97
Hiram,67
Carrollton,96
Clarkston,81
Pine Lake,22
Avondale Estates,62
Lithonia,59
Stone Mountain,77
Jersey,0
Monroe,84
Walnut Grove,56
Smyrna,97
Doraville,82
Dunwoody,97
Dallas,87
Temple,63
Bowdon,55
Decatur,92
Bethlehem,40
Winder,89
Moreland,27
Newnan,95
Senoia,69
Sharpsburg,14
Turin,23
Snellville,90
Lawrenceville,94
Dacula,78
Berkeley Lake,54
Norcross,90
Peachtree Corners,96
Sugar Hill,92
Suwanee,90
Loganville,85
Acworth,93
Lovejoy,82
Powder Springs,89
Brookhaven,96
Ball Ground,52
Rest Haven,1
Duluth,94
Lilburn,85
Woodstock,93
Holly Springs,85
